seg_dist,speed,tt,id
19.8783373006227,16.7964996523992,10.0791666666667,1
19.8783373006227,16.8830210466554,17.5166666666667,2
241.534034320955,17.0855485163284,10.0791666666667,3
241.534034320955,17.1060318800199,17.5166666666667,4
463.189731341287,17.3850933475123,10.0791666666667,5
463.189731341287,17.3027139302464,17.5166666666667,6
684.845428361619,17.6424710696616,10.0791666666667,7
684.845428361619,17.4055018164319,17.5166666666667,8
906.501125381951,17.8051723639879,10.0791666666667,9
906.501125381951,17.3444884990318,17.5166666666667,10
1128.15682240228,17.8353084880115,10.0791666666667,11
1128.15682240228,17.0573996211689,17.5166666666667,12
1349.81251942262,17.7154376289105,10.0791666666667,13
1349.81251942262,16.4926134103586,17.5166666666667,14
1571.46821644295,17.4589817286817,10.0791666666667,15
1571.46821644295,15.618902847347,17.5166666666667,16
1793.12391346328,17.1847910244307,10.0791666666667,17
1793.12391346328,14.518534379562,17.5166666666667,18
2014.77961048361,17.0258476756984,10.0791666666667,19
2014.77961048361,13.3342589309945,17.5166666666667,20
2236.43530750394,17.0261509136508,10.0791666666667,21
2236.43530750394,12.2551651048055,17.5166666666667,22
2458.09100452428,17.1403397315683,10.0791666666667,23
2458.09100452428,11.4965416832303,17.5166666666667,24
2679.74670154461,17.2760541765229,10.0791666666667,25
2679.74670154461,11.1925230447508,17.5166666666667,26
2901.40239856494,17.3504504039448,10.0791666666667,27
2901.40239856494,11.5041319465077,17.5166666666667,28
3123.05809558527,17.3363264069716,10.0791666666667,29
3123.05809558527,12.3972286779925,17.5166666666667,30
3344.71379260561,17.258315172134,10.0791666666667,31
3344.71379260561,13.6780577109471,17.5166666666667,32
3566.36948962594,17.2076507821514,10.0791666666667,33
3566.36948962594,15.0640089736347,17.5166666666667,34
3788.02518664627,17.2430185820976,10.0791666666667,35
3788.02518664627,16.3254151075062,17.5166666666667,36
4009.6808836666,17.3703523457012,10.0791666666667,37
4009.6808836666,17.3066230425408,17.5166666666667,38
4231.33658068693,17.5801610800718,10.0791666666667,39
4231.33658068693,18.0579947107517,17.5166666666667,40
